LBA is 37715
Started Play 6 at 8552400
MA 0 800080 ffffffff 0 1542
MA 0 800080 0 0 1872
MA 0 800080 0 0 1af6
MA 0 800080 0 0 1d6f
MA 0 800080 0 0 1fe7
MA 0 800080 0 0 223b
MA 0 800080 0 0 24d8
MA 0 800080 0 0 270e
MA 0 800080 0 0 2979
MA 0 800080 0 0 2c18
MA 0 800080 0 0 2e6d
MA 0 800080 0 0 30e5
MA 0 800080 0 0 335e
MA 0 800080 0 0 35cc
MA 0 800080 0 0 382c
MA 0 800080 0 0 3a9e
MA 0 800080 0 0 3d11
MA 0 800080 0 0 3f88
MA 0 800080 0 0 41c9
MA 0 800080 0 0 4438
MA 0 800080 0 0 46ad
MA 0 800080 0 0 4943
MA 0 800080 0 0 4bc0
MA 0 800080 0 0 4e21
MA 0 800080 0 0 50c0
MA 0 800080 0 0 52fe
MA 0 800080 0 0 5580
MA 0 800080 0 0 580a
MA 0 800080 0 0 5a5a
MA 0 800080 0 0 5ccb
MA 0 800080 0 0 5f40
MA 0 800080 0 0 617f
MA 0 800080 0 0 63f7
MA 0 800080 0 0 6674
MA 0 800080 0 0 68df
MA 0 800080 0 0 6b57
MA 0 800080 0 0 6d8b
MA 0 800080 0 0 7029
MA 0 800080 0 0 7286
MA 0 800080 0 0 7508
MA 0 800080 0 0 77b1
MA 0 800080 0 0 79ff
MA 0 800080 0 0 7c8d
MA 0 800080 0 0 7eca
MA 0 800080 0 0 812c
MA 0 800080 0 0 83c9
MA 0 800080 0 0 8612
MA 0 800080 0 0 8866
MA 0 800080 0 0 8ae0
MA 0 800080 0 0 8d4a
MA 0 800080 0 0 8fcf
MA 0 800080 0 0 9229
MA 0 800080 0 0 946f
MA 0 800080 0 0 973f
MA 0 800080 0 0 998d
MA 0 800080 0 0 9c07
MA 0 800080 0 0 9e6d
MA 0 800080 0 0 a104
MA 0 800080 0 0 a379
MA 0 800080 0 0 a5b6
MA 0 800080 0 0 a828
MA 0 800080 0 0 aaac
MA 0 800080 0 0 ad0e
MA 0 800080 0 0 afa2
MA 0 800080 0 0 b1b7
MA 0 800080 0 0 b473
MA 0 800080 0 0 b6ea
MA 0 800080 0 0 b944
MA 0 800080 0 0 bbd3
MA 0 800080 0 0 be54
MA 0 800080 0 0 c0c3
MA 0 800080 0 0 c343
MA 0 800080 0 0 c588
MA 0 800080 0 0 c810
MA 0 800080 0 0 caa0
MA 0 800080 0 0 cd10
MA 0 800080 0 0 cf77
MA 0 800080 0 0 d1cf
MA 0 800080 0 0 d476
MA 0 800080 0 0 d699
MA 0 800080 0 0 d90b
MA 0 800080 0 0 dba9
MA 0 800080 0 0 ddf6
MA 0 800080 0 0 e040
MA 0 800080 0 0 e2c2
MA 0 800080 0 0 e52b
MA 0 800080 0 0 e7af
MA 0 800080 0 0 ea0a
MA 0 800080 0 0 ec59
MA 0 800080 0 0 ef25
MA 0 800080 0 0 f17d
MA 0 800080 0 0 f3f2
MA 0 800080 0 0 f646
MA 0 800080 0 0 f8b7
MA 0 800080 0 0 fb3e
MA 0 800080 0 0 fd86
MA 0 800080 0 0 ffed
MA 0 800080 0 0 10278
MA 0 800080 0 0 10500
MA 0 800080 0 0 107a7
MA 0 800080 0 0 10a0e
MA 0 800080 0 0 10cd6
MA 0 800080 0 0 10f37
MA 0 800080 0 0 111bf
MA 0 800080 0 0 1141c
MA 0 800080 0 0 1167e
MA 0 800080 0 0 1193e
MA 0 800080 0 0 11bb5
MA 0 800080 0 0 11e38
MA 0 800080 0 0 1209f
MA 0 800080 0 0 1235e
MA 0 800080 0 0 125d0
MA 0 800080 0 0 12871
MA 0 800080 0 0 12af0
MA 0 800080 0 0 12d70
MA 0 800080 0 0 1301b
MA 0 800080 0 0 1329c
MA 0 800080 0 0 13543
MA 0 800080 0 0 137ab
MA 0 800080 0 0 13a3d
MA 0 800080 0 0 13cb1
MA 0 800080 0 0 13f51
MA 0 800080 0 0 141b9
MA 0 800080 0 0 14414
MA 0 800080 0 0 146e1
MA 0 800080 0 0 1494e
MA 0 800080 0 0 14bdf
MA 0 800080 0 0 14e46
MA 0 800080 0 0 150c7
MA 0 800080 0 0 15355
MA 0 800080 0 0 15610
MA 0 800080 0 0 15893
MA 0 800080 0 0 15b1c
MA 0 800080 0 0 15db7
MA 0 800080 0 0 16030
MA 0 800080 0 0 162b5
MA 0 800080 0 0 16519
MA 0 800080 0 0 167bc
MA 0 800080 0 0 16a4f
MA 0 800080 0 0 16cf9
MA 0 800080 0 0 16f41
MA 0 800080 0 0 171b3
MA 0 800080 0 0 17490
MA 0 800080 0 0 17704
MA 0 800080 0 0 1797d
MA 0 800080 0 0 17bf0
MA 0 800080 0 0 17e7f
MA 0 800080 0 0 180ee
MA 0 800080 0 0 1837e
MA 0 800080 0 0 18620
MA 0 800080 0 0 188a1
MA 0 800080 0 0 18b44
MA 0 800080 0 0 18dc0
MA 0 800080 0 0 19048
MA 0 800080 0 0 19283
MA 0 800080 0 0 19565
MA 0 800080 0 0 197d7
MA 0 800080 0 0 19a52
MA 0 800080 0 0 19cd4
MA 0 800080 0 0 19f4c
MA 0 800080 0 0 1a228
MA 0 800080 0 0 1a48b
MA 0 800080 0 0 1a724
MA 0 800080 0 0 1a99d
MA 0 800080 0 0 1ac20
MA 0 800080 0 0 1ae92
MA 0 800080 0 0 1b132
MA 0 800080 0 0 1b3c1
MA 0 800080 0 0 1b64d
MA 0 800080 0 0 1b8fe
MA 0 800080 0 0 1bb82
MA 0 800080 0 0 1bdff
MA 0 800080 0 0 1c03c
MA 0 800080 0 0 1c2c8
MA 0 800080 0 0 1c563
MA 0 800080 0 0 1c7f8
MA 0 800080 0 0 1ca78
MA 0 800080 0 0 1cce6
MA 0 800080 0 0 1cfb6
MA 0 800080 0 0 1d23f
MA 0 800080 0 0 1d4c1
MA 0 800080 0 0 1d731
MA 0 800080 0 0 1d9b3
MA 0 800080 0 0 1dc41
MA 0 800080 0 0 1dec5
MA 0 800080 0 0 1e149
MA 0 800080 0 0 1e388
MA 0 800080 0 0 1e673
MA 0 800080 0 0 1e8fd
MA 0 800080 0 0 1eb84
MA 0 800080 0 0 1edd4
MA 0 800080 0 0 1f05c
MA 0 800080 0 0 1f2e3
MA 0 800080 0 0 1f597
MA 0 800080 0 0 1f819
MA 0 800080 0 0 1fa7d
MA 0 800080 0 0 1fd11
MA 0 800080 0 0 1ffb6
MA 0 800080 0 0 20256
MA 0 800080 0 0 204c5
MA 0 800080 0 0 2075c
MA 0 800080 0 0 209eb
MA 0 800080 0 0 20c6f
MA 0 800080 0 0 20eef
MA 0 800080 0 0 2115d
MA 0 800080 0 0 21407
MA 0 800080 0 0 2165d
MA 0 800080 0 0 21921
MA 0 800080 0 0 21b6c
MA 0 800080 0 0 21df2
MA 0 800080 0 0 22086
MA 0 800080 0 0 22332
MA 0 800080 0 0 225c0
MA 0 800080 0 0 22826
MA 0 800080 0 0 22ac4
MA 0 800080 0 0 22d48
MA 0 800080 0 0 22fb9
MA 0 800080 0 0 2325f
MA 0 800080 0 0 23503
MA 0 800080 0 0 23763
MA 0 800080 0 0 23a1e
MA 0 800080 0 0 23c9b
MA 0 800080 0 0 23f0f
MA 0 800080 0 0 241b9
MA 0 800080 0 0 24427
MA 0 800080 0 0 24684
MA 0 800080 0 0 248e7
MA 0 800080 0 0 24b58
MA 0 800080 0 0 24dea
MA 0 800080 0 0 2503e
MA 0 800080 0 0 2524d
MA 0 800080 0 0 2549e
MA 0 800080 0 0 25698
MA 0 800080 0 0 2587e
MA 0 800080 0 0 25adc
MA 0 800080 0 0 25cbf
MA 0 800080 0 0 25f23
MA 0 800080 0 0 2612c
MA 0 800080 0 0 26361
MA 0 800080 0 0 26546
MA 0 800080 0 0 26725
MA 0 800080 0 0 26921
MA 0 800080 0 0 26b08
MA 0 800080 0 0 26ce1
MA 0 800080 0 0 26f97
PCB 165 1c00 8 8552400
MA 0 800080 0 0 27391
